id,标题,字段,原值,新值,状态
13,金融机构撤销条例,remark,nfra目录号:717804719/2019-22315 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22315；网页发布:2019-12-29；2001-11-23国务院令第324号公布，自2001-12-15起施行。；补录核验:2026-09-09,已应用
14,储蓄管理条例,doc_number,,国务院令第107号,已应用
14,储蓄管理条例,pub_date,,1992-12-11,已应用
14,储蓄管理条例,effective_date,,1993-03-01,已应用
14,储蓄管理条例,remark,nfra目录号:717804719/2019-22316 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22316；网页发布:2019-12-29；1992-12-11国务院令第107号发布，自1993-03-01施行；2011-01-08经《国务院关于废止和修改部分行政法规的决定》修订。；补录核验:2026-09-09,已应用
15,金融违法行为处罚办法,doc_number,,国务院令第260号,已应用
15,金融违法行为处罚办法,pub_date,,1999-02-22,已应用
15,金融违法行为处罚办法,effective_date,,1999-02-22,已应用
15,金融违法行为处罚办法,remark,nfra目录号:717804719/2019-22317 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22317；网页发布:2019-12-29；1999-02-22国务院令第260号发布并施行(现予发布施行)。；补录核验:2026-09-09,已应用
16,国有重点金融机构监事会暂行条例,doc_number,,国务院令第282号,已应用
16,国有重点金融机构监事会暂行条例,pub_date,,2000-03-15,已应用
16,国有重点金融机构监事会暂行条例,effective_date,,2000-03-15,已应用
16,国有重点金融机构监事会暂行条例,remark,nfra目录号:717804719/2019-22318 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22318；网页发布:2019-12-29；2000-03-15国务院令第282号发布施行(自发布之日起施行)；注：2024年《公司法》修订后银行等机构监事会制度陆续调整，该条例实践适用情况建议列入年度复核。；补录核验:2026-09-09,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",title,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行的监督管理职责的决定",全国人民代表大会常务委员会关于中国银行业监督管理委员会履行原由中国人民银行履行的监督管理职责的决定,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",pub_date,,2003-04-26,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",effective_date,,2003-04-26,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",issuer,,全国人民代表大会常务委员会,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",hierarchy,,法律,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",status,有效,失效,已应用
17,"全国人民代表大会常务委员会关于中国银行业监督管理委员会
履行原由中国人民银行履行",remark,nfra目录号:717804719/2019-22319 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补 发布机关待人工补,nfra目录号:717804719/2019-22319；网页发布:2019-12-29；决定类文件依性质无文号；2003-04-26十届全国人大常委会第二次会议通过并公布(自公布之日起施行)；2025-12-27经全国人大常委会法律清理(主席令第68号批准法工委报告)宣告失效，列入104件失效目录——历史性文件，仅供沿革参考。；补录核验:2026-09-09,已应用
18,防范和处置非法集资条例,doc_number,,国务院令第737号,已应用
18,防范和处置非法集资条例,pub_date,2020-12-21,2021-01-26,已应用
18,防范和处置非法集资条例,remark,nfra目录号:717804719/2021-203 网页发布:2021-02-11 文号未识别待人工补,nfra目录号:717804719/2021-203；网页发布:2021-02-11；2021-01-26国务院令第737号公布，自2021-05-01施行（原pub 2020-12-21系国务院常务会议通过日而非公布日，已更正）。；补录核验:2026-09-09,已应用
